lid,date,comments,rid
20869092,2017-09-27,"Superior location, beautiful environment and high security",0
20869092,2017-09-28,"Wow!    Great place!    Super clean, modern, great fitness center and pool, bottled water......can't rave about the amenities enough.    Conveniently located to the SBS Train.....Tremendous hospitality!!    I loved it so much, I booked another stay while there!",1
20869092,2017-10-06,like,2
20869092,2017-10-08,"Beautiful apartment - I would say even nicer than the photos can show. The room was clean, minimalistic, spacious - it was everything we were expecting and more. A washing machine (plus detergent) is offered, which is great. Bed and pillows were extremely comfortable. In terms of extra amenities, there is a beautiful pool and a massage place downstairs (which, surprisingly, was not extremely expensive and had prices on par with most others I've seen in Bangkok).<br/><br/>The location is close to the BTS station but is tucked into an alley, allowing it to remain quiet. The property itself offers a free tuktuk to the BTS station or to the nearby market where you can find lots of street food vendors. <br/><br/>Suchada is extremely quick with responses and very helpful. Checking in was a seamless and easy process. <br/><br/>Would definitely recommend this property and will choose this place for future stays in Bangkok (if it's available)! ",3
20869092,2017-10-11,"Great helpful owner,<br/>Nice and clean. <br/>Happy stay!",4
20869092,2017-10-27,"Cost and place very reasonable, helpful staffs, clean and very comfortable",5
20869092,2017-11-05,Great place and amazing host with local tuk tuk service. It is a difficult location for Uber drivers to find sometimes. But overall the place is great and trendy with a convenient massage shop right downstairs.,6
20869092,2017-11-06,"Great place, will stay again",7
20869092,2017-11-17,"Great place! It's part of a hotel with 24 hour check in too! The room is very clean and very well located (easy to call a meter taxi from the front desk, and located very close to the sky train public transportation) Thanks!",8
20869092,2017-11-22,"I was staying as someone who needed to do some work at home. The layout of the room I stayed in at their second property had a lot of windows, which I liked. I appreciated the internet, kitchen, and washing machine. I used the exercize room. The property had pretty much evertyhing I needed.",9
20869092,2017-11-29,Parfait,10
20869092,2017-12-05,Perfect,11
20869092,2017-12-07,"Great apartment,very close to the skytrain.<br/>Really clean,free water available",12
20869092,2017-12-13,Great space in quiet neighbourhood.  Super clean.  Bed was very comfortable.  Sheets and towels were nice to use. Awesome pool with a great Thai massage place downstairs.,13
20869092,2017-12-24,"Awesome, flexible, and convenient! <br/>I would stay here again.",14
20869092,2017-12-28,Suchada's place was lovely! It can be a bit hard for Uber drivers to find but there is a free tuk tuk that will take you to the nearby train station. You also get free noodles and there is a food delivery service that will deliver to the apartment. It's a small studio but it's perfect for a short or even extended stay. Comfortable bed and ample amount of towels.,15
20869092,2017-12-29,"Really modern convienent apartment with a lovely pool in the building for relaxing after a day in the city. Extremely close to the sky train, the apartment is also quiet due to the location in a side-street. Highly recommended.",16
20869092,2018-01-02,"Clean ans nice room. Nice place with pool and sports equipement, nice staff and close to bts station.",17
20869092,2018-01-06,Nice and quiet. Perfect for our needs.,18
20869092,2018-01-10,Very nice room with a good kitchen. You can make your own dishes.  A short distance walk to BTS station.  ,19
20869092,2018-01-11,We loved our stay here! Staff was amazing and helped us book our taxi for day trips. They even helped us order dinner and meals and the meals arrived in a timely manner. The location is also in the heart of the city and near public transportation so everything was very accessible. Would definitely book again!,20
20869092,2018-01-15,Excellent stay. Will love to be back,21
20869092,2018-01-22,"Airbnb will only let me give 5 stars, but if I could I would give 10. <br/><br/>Suchada's place is one of the best AirBnb's I've ever experienced. The hospitality was second to none and the location was perfect for traveling on the BTS to different parts of the city. The location is also perfect for families since it's a bit quieter than some of the craziness of southern areas like Nana and Asok.<br/><br/>The room was a perfect size for my father and I. You can order food from the room if you'd like and there is a great massage shop in the building. <br/><br/>The staff was really quite exceptional. They arranged most of our taxis to other parts of the city as well as the airport. They even took us by tuk-tuk to a hidden little gem where the locals eat Jok (Thai breakfast rice- porridge)...AND picked us up afterwards.<br/><br/>Well done Suchada and team.",22
20869092,2018-02-05,Love the place because of the quietness!,23
20869092,2018-02-07,"This place is really nice. Specially for the price, you live where the locals live and there is a tuk tuk that can drive you to the BTS station or a little market down the street for some really good street food. Suchada is awesome very responsive and if you ask for some local tips for restaurants or places to go she knows everything.",24
